Age,Ranking,Name,Nationality,Image,ClubShortName,ClubImage,Unnamed: 8,ClubName,ClubNation,ClubNation(S),Position2,FamilyName2,MinutesPlayed,YellowCard,RedCard,Goals,Assists,Clean,TournamentPlayed,GameStarted,SubstituteAppearance,MinutesPlayed2,Pen,PenSaves,TouchesP90,OffsideP90,RecovP90,LastManTackles,CrossesP90,SavesP90,GoalConP90,FouledP90,FoulsP90,InterceptP90,ClearP90,ShotsP90,TargetsP90,LongBallsP90,FinalThirdP90,PossLostP90,BlockedP90,ErrGoal,ErrChance,PassP90,PassComp%,DribblesP90,MOM,AvgRating,Decisive,First,Nationality(S),ProfileWeb,ClubProfileWeb,NationProfile,Conceded,FamilyName,Position,posNr,Position(S),GoalP90,NonPenGoalP90,ShotAcc%,ConvRate%,AssP90,G+A,ContP90,NonPenContP90,ContSpread,BChances,TacklesWon%,AerialsWon%,DuelsWon%,H,A,fifa_name
33,55.0,Aaron Lennon,England,https://www.sportsbase.io/images/people/63.png,Burnley,https://www.sportsbase.io/images/clubs/492.png,0.0,Burnley FC,England,GB,"M,<BR />DM (R)",Lennon,485,4,0,0,0,5,16,4,12,485.0,0.0,0.0,36.56,0.0,4.46,,1.49,0.0,2.78,1.3,2.04,1.3,0.74,0.19,0.0,1.85,9.84,10.4,0.0,0,0,21.9,72.88,0.56,0.0,5.7,0.0,0.0,GB,https://www.footballcritic.com/aaron-lennon/profile/63,https://www.footballcritic.com/burnley-fc/squad/492,https://www.footballcritic.com/england/area-info/68,15,Lennon,Midfielder,5,"M,&nbsp;DM&nbsp;(R)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,25.0,46.0,0.0,0.0,A. Lennon
31,69.0,Theo Walcott,England,https://www.sportsbase.io/images/people/67.png,Everton,https://www.sportsbase.io/images/clubs/473.png,14.29,Everton FC,England,GB,"AM,<BR />M (R)",Walcott,1295,1,0,2,3,5,25,17,8,1296.0,0.0,0.0,42.29,0.69,3.47,,2.84,0.0,1.32,1.18,0.62,0.56,0.07,2.15,0.69,1.04,13.06,15.42,0.84,0,0,24.52,68.56,1.11,0.0,6.0,2.0,0.0,GB,https://www.footballcritic.com/theo-walcott/profile/67,https://www.footballcritic.com/everton-fc/squad/473,https://www.footballcritic.com/england/area-info/68,19,Walcott,Winger,7,"AM,&nbsp;M&nbsp;(R)",0.14,0.14,32.26,6.45,0.21,5.0,0.35,0.35,29.41,6,62.0,23.0,40.0,1.0,1.0,T. Walcott
38,71.0,Pepe Reina,Spain,https://www.sportsbase.io/images/people/95.png,Aston Villa,https://www.sportsbase.io/images/clubs/461.png,0.0,Aston Villa FC,England,GB,GK,Pepe Reina,1080,1,0,0,0,2,12,12,0,1080.0,0.0,1.0,37.92,0.0,7.42,,0.0,2.75,1.67,0.33,0.08,0.0,1.08,0.0,0.0,18.08,3.17,10.33,0.0,1,0,28.67,65.41,0.0,0.0,6.4,0.0,0.0,ES,https://www.footballcritic.com/pepe-reina/profile/95,https://www.footballcritic.com/aston-villa-fc/squad/461,https://www.footballcritic.com/spain/area-info/176,20,Reina Paez,Goalkeeper,1,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,100.0,,0.0,0.0,P. Reina
35,74.0,Łukasz Fabiański,Poland,https://www.sportsbase.io/images/people/199.png,West Ham,https://www.sportsbase.io/images/clubs/496.png,0.0,West Ham United FC,England,GB,GK,Fabiański,2119,1,0,0,0,5,25,25,0,2119.0,0.0,1.0,33.72,0.0,8.37,,0.0,3.06,1.44,0.08,0.05,0.05,0.89,0.0,0.0,20.73,4.37,12.48,0.0,3,0,24.46,50.52,0.05,1.0,6.4,0.0,0.0,PL,https://www.footballcritic.com/cukasz-fabiacski/profile/199,https://www.footballcritic.com/west-ham-united-fc/squad/496,https://www.footballcritic.com/poland/area-info/155,34,Fabianski,Goalkeeper,1,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,80.0,0.0,0.0,Ł. Fabiański
33,83.0,Hugo Lloris,France,https://www.sportsbase.io/images/people/303.png,Tottenham,https://www.sportsbase.io/images/clubs/472.png,0.0,Tottenham Hotspur FC,England,GB,GK,Lloris,1808,0,0,0,0,6,21,21,0,1808.0,0.0,1.0,34.25,0.0,8.42,,0.0,3.98,1.04,0.05,0.0,0.05,0.69,0.0,0.0,14.09,1.44,7.67,0.0,2,0,23.8,68.62,0.0,2.0,7.0,0.0,0.0,FR,https://www.footballcritic.com/hugo-lloris/profile/303,https://www.footballcritic.com/tottenham-hotspur-fc/squad/472,https://www.footballcritic.com/france/area-info/76,21,Lloris,Goalkeeper,1,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,75.0,,0.0,0.0,H. Lloris
33,82.0,Jan Vertonghen,Belgium,https://www.sportsbase.io/images/people/405.png,Tottenham,https://www.sportsbase.io/images/clubs/472.png,10.0,Tottenham Hotspur FC,England,GB,D (CL),Vertonghen,1644,2,0,1,1,5,23,19,4,1643.0,0.0,0.0,77.4,0.0,5.86,,0.99,0.0,1.31,0.93,0.39,1.7,3.78,0.22,0.11,6.69,6.25,13.53,0.05,0,0,59.87,82.43,0.27,0.0,6.8,1.0,0.0,BE,https://www.footballcritic.com/jan-vertonghen/profile/405,https://www.footballcritic.com/tottenham-hotspur-fc/squad/472,https://www.footballcritic.com/belgium/area-info/27,24,Vertonghen,Defender,2,D&nbsp;(CL),0.05,0.05,50.0,25.0,0.05,2.0,0.11,0.11,11.11,2,59.0,72.0,70.0,0.0,1.0,J. Vertonghen
32,70.0,Erik Pieters,Netherlands,https://www.sportsbase.io/images/people/444.png,Burnley,https://www.sportsbase.io/images/clubs/492.png,10.0,Burnley FC,England,GB,D (L),Pieters,1879,2,0,0,4,8,24,21,3,1878.0,0.0,0.0,59.33,0.0,4.55,,1.96,0.0,1.67,0.95,1.01,1.3,2.25,0.68,0.14,4.51,9.97,14.14,0.05,0,0,34.79,73.28,0.19,2.0,6.4,0.0,0.0,NL,https://www.footballcritic.com/erik-pieters/profile/444,https://www.footballcritic.com/burnley-fc/squad/492,https://www.footballcritic.com/netherlands/area-info/138,35,Pieters,Full back,3,D&nbsp;(L),0.0,0.0,21.43,0.0,0.19,4.0,0.19,0.19,14.29,5,61.0,64.0,53.0,0.0,0.0,E. Pieters
37,73.0,Ben Foster,England,https://www.sportsbase.io/images/people/455.png,Watford,https://www.sportsbase.io/images/clubs/511.png,0.0,Watford FC,England,GB,GK,Foster,3420,1,0,0,0,9,38,38,0,3420.0,0.0,1.0,37.19,0.0,9.66,,0.0,3.08,1.68,0.08,0.05,0.03,0.79,0.03,0.03,25.32,7.52,17.4,0.0,2,0,28.53,40.77,0.05,2.0,6.2,0.0,0.0,GB,https://www.footballcritic.com/ben-foster/profile/455,https://www.footballcritic.com/watford-fc/squad/511,https://www.footballcritic.com/england/area-info/68,64,Foster,Goalkeeper,1,GK,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,100.0,,0.0,0.0,B. Foster
33,64.0,Adrian Mariappa,Jamaica,https://www.sportsbase.io/images/people/471.png,Watford,https://www.sportsbase.io/images/clubs/511.png,0.0,Watford FC,England,GB,D (CR),Mariappa,1509,5,0,0,0,5,20,15,5,1509.0,0.0,0.0,47.18,0.12,2.98,,1.25,0.0,1.97,0.41,1.2,0.59,4.06,0.18,0.0,3.93,5.72,11.87,0.06,0,0,27.32,73.58,0.06,0.0,5.9,0.0,0.0,JM,https://www.footballcritic.com/adrian-mariappa/profile/471,https://www.footballcritic.com/watford-fc/squad/511,https://www.footballcritic.com/jamaica/area-info/101,33,Mariappa,Defender,2,D&nbsp;(CR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67.0,60.0,50.0,0.0,0.0,A. Mariappa
35,80.0,Ashley Young,England,https://www.sportsbase.io/images/people/477.png,Man Utd,https://www.sportsbase.io/images/clubs/475.png,0.0,Manchester United FC,England,GB,"D (R),<BR />DM (L)",Young,954,5,0,0,0,2,12,10,2,954.0,0.0,0.0,82.93,0.0,5.66,,5.85,0.0,0.95,1.51,1.32,0.95,1.98,0.28,0.0,6.23,17.64,19.24,0.0,0,0,53.11,80.46,0.66,0.0,6.6,0.0,0.0,GB,https://www.footballcritic.com/ashley-young/profile/477,https://www.footballcritic.com/manchester-united-fc/squad/475,https://www.footballcritic.com/england/area-info/68,10,Young,Full back,3,"D&nbsp;(R),&nbsp;DM&nbsp;(L)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,70.0,67.0,51.0,0.0,0.0,A. Young
