,name,nationality,clubName,ErrChance,ErrGoal,PossLostP90,OffsideP90
0,Aaron Lennon,England,Burnley FC,0,0,10.40,0.00
1,Theo Walcott,England,Everton FC,0,0,15.42,0.69
2,Pepe Reina,Spain,Aston Villa FC,0,1,10.33,0.00
3,Łukasz Fabiański,Poland,West Ham United FC,0,3,12.48,0.00
4,Hugo Lloris,France,Tottenham Hotspur FC,0,2,7.67,0.00
5,Jan Vertonghen,Belgium,Tottenham Hotspur FC,0,0,13.53,0.00
6,Erik Pieters,Netherlands,Burnley FC,0,0,14.14,0.00
7,Ben Foster,England,Watford FC,0,2,17.40,0.00
8,Adrian Mariappa,Jamaica,Watford FC,0,0,11.87,0.12
9,Ashley Young,England,Manchester United FC,0,0,19.24,0.00
10,Shane Long,Republic of Ireland,Southampton FC,0,0,17.96,0.77
11,Phil Jagielka,England,Sheffield United FC,0,0,7.13,0.00
12,Leighton Baines,England,Everton FC,0,0,11.22,0.00
13,Gary Cahill,England,Crystal Palace FC,0,0,7.10,0.00
14,Kasper Schmeichel,Denmark,Leicester City FC,1,1,6.95,0.00
15,James Milner,England,Liverpool FC,1,0,13.41,0.10
16,Tom Heaton,England,Aston Villa FC,0,0,12.93,0.00
17,David Silva,Spain,Manchester City FC,0,0,12.92,0.14
18,Sergio Agüero,Argentina,Manchester City FC,0,0,10.13,0.37
19,Pablo Zabaleta,Argentina,West Ham United FC,0,0,14.21,0.00
20,Nacho Monreal,Spain,Arsenal FC,0,0,11.00,0.67
21,Phil Bardsley,Scotland,Burnley FC,0,0,16.05,0.00
22,Tim Krul,Netherlands,Norwich City FC,0,1,13.97,0.00
23,Cheikhou Kouyaté,Senegal,Crystal Palace FC,1,0,11.47,0.07
24,Aaron Cresswell,England,West Ham United FC,2,0,16.97,0.06
25,Darren Randolph,Republic of Ireland,West Ham United FC,0,0,9.50,0.00
26,Andy Carroll,England,Newcastle United FC,0,1,17.77,0.87
27,Maya Yoshida,Japan,Southampton FC,1,0,10.00,0.00
28,Séamus Coleman,Republic of Ireland,Everton FC,0,1,16.51,0.05
29,Alexander Tettey,Norway,Norwich City FC,0,0,7.24,0.00
30,Moussa Sissoko,France,Tottenham Hotspur FC,1,0,9.89,0.07
31,Wayne Hennessey,Wales,Crystal Palace FC,0,0,18.33,0.00
32,Jack Stephens,England,Southampton FC,2,1,14.09,0.00
33,Ayoze Pérez,Spain,Leicester City FC,1,0,14.54,0.32
34,Andrew Surman,England,AFC Bournemouth,1,0,12.31,0.00
35,Adam Lallana,England,Liverpool FC,1,0,15.69,0.24
36,Billy Sharp,England,Sheffield United FC,0,0,11.70,1.04
37,Dan Gosling,England,AFC Bournemouth,0,0,13.00,0.14
38,Kurt Zouma,France,Chelsea FC,2,0,10.10,0.04
39,Lukas Rupp,Germany,Norwich City FC,0,0,12.90,0.00
40,Jota Peleteiro,Spain,Aston Villa FC,0,0,12.74,0.00
41,Jay Rodriguez,England,Burnley FC,0,0,12.68,0.99
42,Danny Rose,England,Newcastle United FC,2,1,14.18,0.00
43,David Luiz,Brazil,Arsenal FC,0,2,9.86,0.04
44,Cesar Azpilicueta,Spain,Chelsea FC,0,0,18.76,0.08
45,Juan Mata,Spain,Manchester United FC,0,0,13.74,0.48
46,Fernandinho,Brazil,Manchester City FC,0,0,9.46,0.04
47,Jonny Evans,Northern Ireland,Leicester City FC,4,0,9.39,0.05
48,Jack Cork,England,Burnley FC,0,0,10.18,0.04
49,Ryan Bertrand,England,Southampton FC,1,0,17.29,0.04
50,Ahmed El Mohamady,Egypt,Aston Villa FC,1,0,15.35,0.17
51,Jack Rodwell,England,Sheffield United FC,0,0,,
52,Scott Dann,England,Crystal Palace FC,0,0,8.18,0.00
53,Ki Sungyueng,Korea Republic,Newcastle United FC,0,0,6.62,0.00
54,Morgan Schneiderlin,France,Everton FC,1,0,8.52,0.00
55,John Fleck,Scotland,Sheffield United FC,0,0,14.45,0.04
56,Nemanja Matić,Serbia,Manchester United FC,0,0,11.77,0.00
57,Ashley Barnes,England,Burnley FC,0,0,12.03,0.86
58,Neil Taylor,Wales,Aston Villa FC,0,0,9.92,0.00
59,Robert Snodgrass,Scotland,West Ham United FC,0,0,16.26,0.23
60,James McArthur,Scotland,Crystal Palace FC,0,0,13.55,0.12
61,James McCarthy,Republic of Ireland,Crystal Palace FC,0,0,12.17,0.00
62,Wes Morgan,Jamaica,Leicester City FC,0,0,6.29,0.00
63,Víctor Camarasa,Spain,Crystal Palace FC,0,0,,
64,Jordan Henderson,England,Liverpool FC,1,0,15.08,0.00
65,Ryan Bennett,England,Leicester City FC,0,0,11.28,0.00
66,Andreas Pereira,Brazil,Manchester United FC,0,0,18.98,0.18
67,Glenn Murray,England,Brighton & Hove Albion FC,0,0,12.79,1.14
68,Jonjo Shelvey,England,Newcastle United FC,0,0,15.14,0.05
69,Fabian Delph,England,Everton FC,0,1,10.59,0.00
70,Craig Cathcart,Northern Ireland,Watford FC,1,0,7.05,0.00
71,Christian Benteke,Belgium,Crystal Palace FC,0,0,16.91,0.86
72,Matty James,England,Leicester City FC,0,0,,
73,Danny Welbeck,England,Watford FC,0,0,10.14,0.23
74,Javier Hernández,Mexico,West Ham United FC,0,0,5.05,0.84
75,Dejan Lovren,Croatia,Liverpool FC,0,0,13.20,0.00
76,Gylfi Sigurdsson,Iceland,Everton FC,0,0,12.19,0.07
77,Olivier Giroud,France,Chelsea FC,0,0,11.17,0.81
78,Jack Wilshere,England,West Ham United FC,0,0,14.57,0.00
79,Martin Kelly,England,Crystal Palace FC,0,1,12.89,0.00
80,David De Gea,Spain,Manchester United FC,1,3,5.36,0.00
81,Henri Lansbury,England,Aston Villa FC,0,0,10.95,0.00
82,Joel Ward,England,Crystal Palace FC,0,1,14.58,0.00
83,Ashley Westwood,England,Burnley FC,1,0,15.40,0.03
84,Kyle Walker,England,Manchester City FC,1,0,12.43,0.12
85,Junior Stanislas,England,AFC Bournemouth,0,0,15.17,0.13
86,Alex McCarthy,England,Southampton FC,0,3,12.86,0.00
87,Ezequiel Schelotto,Italy,Brighton & Hove Albion FC,0,0,18.95,0.25
88,Tom Cleverley,England,Watford FC,0,0,11.00,0.00
89,Marc Albrighton,England,Leicester City FC,0,0,20.93,0.11
90,Andros Townsend,England,Crystal Palace FC,0,0,15.99,0.07
91,Matěj Vydra,Czech Republic,Burnley FC,0,0,8.53,0.33
92,Chris Wood,New Zealand,Burnley FC,0,0,10.93,1.25
93,Connor Wickham,England,Crystal Palace FC,0,0,26.00,1.00
94,Kevin De Bruyne,Belgium,Manchester City FC,2,0,22.76,0.10
95,Kevin Long,Republic of Ireland,Burnley FC,0,0,8.65,0.00
96,Matthew Lowton,England,Burnley FC,0,2,15.89,0.00
97,Patrick van Aanholt,Netherlands,Crystal Palace FC,1,0,15.06,0.07
98,Adam Smith,England,AFC Bournemouth,1,0,12.72,0.09
99,Craig Dawson,England,Watford FC,0,0,9.15,0.00
100,Simon Moore,England,Sheffield United FC,0,1,15.00,0.00
101,Ciaran Clark,Republic of Ireland,Newcastle United FC,0,0,5.91,0.00
102,Danny Drinkwater,England,Aston Villa FC,0,1,13.98,0.00
103,Shane Duffy,Republic of Ireland,Brighton & Hove Albion FC,0,0,10.16,0.00
104,Nathaniel Chalobah,England,Watford FC,0,0,13.22,0.00
105,Joshua King,Norway,AFC Bournemouth,0,0,15.77,0.32
106,Shkodran Mustafi,Germany,Arsenal FC,0,0,11.95,0.00
107,Oriol Romeu,Spain,Southampton FC,0,0,11.15,0.05
108,Phil Jones,England,Manchester United FC,0,1,12.66,0.00
109,Benjamin Mee,England,Burnley FC,0,2,11.69,0.09
110,Aaron Mooy,Australia,Brighton & Hove Albion FC,1,0,16.29,0.00
111,Jed Steer,England,Aston Villa FC,0,0,,
112,Emiliano Martínez,Argentina,Arsenal FC,1,0,8.88,0.00
113,Dan Burn,England,Brighton & Hove Albion FC,0,0,18.09,0.09
114,Andrew Robertson,Scotland,Liverpool FC,1,0,19.68,0.05
115,Alex Oxlade-Chamberlain,England,Liverpool FC,0,0,15.34,0.12
116,Wilfried Zaha,Côte d’Ivoire,Crystal Palace FC,0,0,18.55,0.44
117,Marcos Alonso,Spain,Chelsea FC,0,0,17.11,0.13
118,Lewis Dunk,England,Brighton & Hove Albion FC,1,0,9.19,0.03
119,Oliver Norwood,Northern Ireland,Sheffield United FC,1,0,15.47,0.03
120,Grant Hanley,Scotland,Norwich City FC,1,0,8.78,0.00
121,Jack Robinson,England,Sheffield United FC,0,0,14.08,0.18
122,Robbie Brady,Republic of Ireland,Burnley FC,0,0,18.97,0.20
123,Danny Ings,England,Southampton FC,0,1,14.20,0.39
124,Eric Dier,England,Tottenham Hotspur FC,0,0,13.09,0.06
125,Nathan Redmond,England,Southampton FC,0,0,15.80,0.16
126,Ross Barkley,England,Chelsea FC,0,0,12.23,0.00
127,Jeff Hendrick,Republic of Ireland,Burnley FC,0,0,12.14,0.19
128,Harry Kane,England,Tottenham Hotspur FC,0,0,11.75,0.69
129,Jamie Vardy,England,Leicester City FC,0,0,7.30,0.83
130,Raheem Sterling,England,Manchester City FC,0,0,14.75,0.41
131,Ravel Morrison,Jamaica,Sheffield United FC,0,0,,
132,Conor Coady,England,Wolverhampton Wanderers FC,0,2,7.50,0.00
133,Paul Pogba,France,Manchester United FC,1,1,16.96,0.15
134,Harry Maguire,England,Manchester United FC,0,0,9.48,0.16
135,Nathan Aké,Netherlands,AFC Bournemouth,0,0,6.11,0.11
136,John Stones,England,Manchester City FC,2,0,5.23,0.08
137,Jamaal Lascelles,England,Newcastle United FC,0,1,8.01,0.09
